parameter,comment,options,label
y,array-like of shape (n_samples) Target values.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
classes,array-like of shape (n_classes) default=None List of all the classes that can possibly appear in the y vector.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
_refit,bool default=False If true act as though this were the first time we called _partial_fit (ie throw away any past fitting and start over).,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,builtin
sample_weight,array-like of shape (n_samples) default=None Weights applied to individual samples (1. for unweighted).,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) Data.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
y,array-like of shape (n_samples) Multi-class targets.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
X,{array-like sparse matrix) of shape (n_samples n_features) Data.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
y,array-like of shape (n_samples) Multi-class targets.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
classes,array shape (n_classes ) Classes across all calls to partial_fit. Can be obtained via `np.unique(y_all)` where y_all is the target vector of the entire dataset. This argument is only required in the first call of partial_fit and can be omitted in the subsequent calls.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) Data.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) Input data.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
X,array-like of shape (n_samples n_features) Input data.,array numbers.Integral numbers.Real numpy warnings scipy.sparse itertools base.BaseEstimator base.ClassifierMixin base.clone base.is_classifier base.MultiOutputMixin base.MetaEstimatorMixin base.is_regressor preprocessing.LabelBinarizer metrics.pairwise.pairwise_distances_argmin utils.check_random_state utils._param_validation.HasMethods utils._param_validation.Interval utils._tags._safe_tags utils.validation._num_samples utils.validation.check_is_fitted utils.multiclass._check_partial_fit_first_call utils.multiclass.check_classification_targets utils.multiclass._ovr_decision_function utils.metaestimators._safe_split utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) The input data.,numbers.Integral numpy scipy.sparse abc.ABCMeta abc.abstractmethod base.BaseEstimator base.clone base.MetaEstimatorMixin base.RegressorMixin base.ClassifierMixin base.is_classifier model_selection.cross_val_predict utils.check_random_state utils._print_elapsed_time utils.metaestimators.available_if utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils.validation.has_fit_parameter utils.validation._check_fit_params utils.parallel.delayed utils.parallel.Parallel utils._param_validation.HasMethods utils._param_validation.StrOptions,numpy
y,{array-like sparse matrix} of shape (n_samples n_outputs) Multi-output targets.,numbers.Integral numpy scipy.sparse abc.ABCMeta abc.abstractmethod base.BaseEstimator base.clone base.MetaEstimatorMixin base.RegressorMixin base.ClassifierMixin base.is_classifier model_selection.cross_val_predict utils.check_random_state utils._print_elapsed_time utils.metaestimators.available_if utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils.validation.has_fit_parameter utils.validation._check_fit_params utils.parallel.delayed utils.parallel.Parallel utils._param_validation.HasMethods utils._param_validation.StrOptions,numpy
